22nd Street,22S,2
29th Avenue,29A,1
Aberdeen,ABD,2
Braid,BRD,2
Brentwood Town Center,BTC,2
Bridgeport,BRP,2
Broadway-City Hall,BCH,1
Burquitlam,BQM,3
Burrard,BRR,1
Columbia,CLB,2
Commercial-Broadway,CMB,1
Coquitlam Central,CQC,3
Edmonds,EDM,2
Gateway,GTW,3
Gilmore,GLM,2
Granville,GVL,1
Holdom,HLD,2
Inlet Center,INL,3
Joyce Collingwood,JCW,1
King Edward,KED,1
King George,KGG,3
Larfarge Lake-Douglas,LLD,3
Lake City Way,LCW,2
Langara-49th Avenue,L49,1
Lansdowne,LDN,2
Lincoln,LCL,3
Lougheed Town Center,LTC,2
Main Street-Science World,MSW,1
Marine Drive,MRD,1
Metrotown,MTT,2
Moody Center,MDC,3
Nanaimo,NNM,1
New Westminster,NWM,2
Oakridge-41st Avenue,O41,1
Olympic Village,OLV,1
Patterson,PTS,2
Production Way-University,PWU,2
Renfrew,RFW,1
Richmond-Brighouse,RBG,2
Royal Oak,ROK,2
Rupert,RPT,1
Sapperton,SPT,2
Scott Road,SCR,3
Sea Island Center,SIC,2
Sperling-Burnaby Lake,SBL,2
Stadium-Chinatown,SCT,1
Surrey Central,SRC,3
Templeton,TPL,2
Vancouver City Center,VAN,1
VCC-Clark,VCC,1
Waterfront,WTF,1
Yaletown-Roundhouse,YRH,1
YVR-Airport,YVR,2
